book,The Hunger Games,"The Hunger Games (The Hunger Games, #1)"
book,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
book,Twilight,"Twilight (Twilight, #1)"
book,To Kill a Mockingbird,To Kill a Mockingbird
book,The Great Gatsby,The Great Gatsby
book,The Fault in Our Stars,The Fault in Our Stars
book,The Hobbit or There and Back Again,The Hobbit
book,The Catcher in the Rye,The Catcher in the Rye
book,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)"
book,Pride and Prejudice,Pride and Prejudice
book,The Kite Runner ,The Kite Runner
book,Divergent,"Divergent (Divergent, #1)"
book,Nineteen Eighty-Four,1984
book,Animal Farm: A Fairy Story,Animal Farm
book,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl
book,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)"
book,Catching Fire,"Catching Fire (The Hunger Games, #2)"
book,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
book, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)"
book,Mockingjay,"Mockingjay (The Hunger Games, #3)"
book,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
book,The Lovely Bones,The Lovely Bones
book,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
book,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
book,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
book,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)"
book,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
book,Lord of the Flies ,Lord of the Flies
book,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet
book,Gone Girl,Gone Girl
book,The Help,The Help
book,Of Mice and Men ,Of Mice and Men
book,Memoirs of a Geisha,Memoirs of a Geisha
