toodles,goodbyes
then bye,goodbyes
thanks byebye,goodbyes
swag out,goodbyes
soon,goodbyes
so long,goodbyes
signing out,goodbyes
signing off,goodbyes
shut down,goodbyes
shutdown,goodbyes
should go,goodbyes
should be going,goodbyes
see you,goodbyes
see ya soon,goodbyes
see ya later,goodbyes
see ya,goodbyes
run,goodbyes
over and out,goodbyes
out of time,goodbyes
ok bye,goodbyes
"no, bye!",goodbyes
nice day,goodbyes
my time is up,goodbyes
logging off,goodbyes
leave,goodbyes
laters,goodbyes
later,goodbyes
i said goodbye,goodbyes
I'm leaving,goodbyes
"Hi, Watson. I want to stop car",goodbyes
hey stop here,goodbyes
Have a nice day,goodbyes
gtg,goodbyes
gotta run,goodbyes
gotta go,goodbyes
good night,goodbyes
good day,goodbyes
good bye,goodbyes
goodbye,goodbyes
going,goodbyes
go,goodbyes
finally reached home.. lock up and cock up.. good nite and good bye for ever,goodbyes
farewell,goodbyes
cya,goodbyes
bye now,goodbyes
bye bye,goodbyes
bye,goodbyes
au revoir,goodbyes
adios,goodbyes
adieu,goodbyes
