yo my man,greetings
yo,greetings
yello,greetings
What's up?,greetings
What's up ?,greetings
What's up,greetings
what r u doing,greetings
what doing,greetings
sup,greetings
say hello to me,greetings
namaste,greetings
I would like you to say hello,greetings
howdy,greetings
How are you doing,greetings
hola como estas,greetings
Hola,greetings
hiya,greetings
"Hi, Watson, my name is John",greetings
Hi watson,greetings
hi to whom had like,greetings
hi there,greetings
"Hi, my name is Michel",greetings
"Hi, my name is Diego",greetings
hi how are u,greetings
hi,greetings
hey there,greetings
heya,greetings
hey,greetings
Hello Watson,greetings
"Hello, My name is John?",greetings
"hello, my name is esteban",greetings
"Hello, how are you",greetings
Hello,greetings
greetings,greetings
good morning,greetings
good how are you,greetings
good evening,greetings
good day,greetings
Good afternoon.,greetings
good,greetings
g'day,greetings
feeling bit low,greetings
fdsafsaHi watson,greetings
ciao,greetings
buenos dias,greetings
buenas dias,greetings
bonjour,greetings
aloha,greetings
